Event Picture Ref No,Event Name,Description,Interest,Start Time,End Time,Event Date,End Date,Repeat,Location ,Lat/Long,Website,Contact Number
Paris_4.jpg,LA CREPERIE,"When in France, do as the French do _ and that means digging into a crepe. La Creperie was inspired by walk-up sidewalk creperies that line the streets of Paris. Discover La Creperie along the shopping and dining promenade between the Bally_s entrance and Paris casino floor.
The quintessential French delicacy gets inventive here with several flavors and add-ons. La Creperie offers a variety of fillings and can satisfy sweet or savory cravings. Watch the creations being made on the spot before your eyes as the chefs combine everything from ham and cheese to fresh berries and Chantilly cream. The hot, flavorful results quickly melt in your mouth.
WHAT TO EAT AT THIS AUTHENTIC CREPERIE IN LAS VEGAS:
Savory: Three cheese crepe with gruyere, triple cream brie and boursin
Sweet: Nutella, banana, candied hazelnuts and caramel sauce crepe",Restaurants,7:00:00 AM,11:00:00 PM,11.01.2019,31.12.2019,Everyday,"3655 Las Vegas Boulevard South Las Vegas , NV 89109","36.112385, -115.171486",https://www.caesars.com/paris-las-vegas/restaurants/la-creperie,702 946 7000
Paris_5.jpg,CAFE BELLE MADELEINE,"This quaint cafÇ focuses on dessert works of art and sweet snacks, plus light fare. It is conveniently located next to the guest elevators.
The cheese plates, croissants, tarts and quiches are perfectly Parisian and can be paired with hot or frozen coffee drinks and smoothies. A quick morning bite is easy here and includes muffins, Danish and other pastries. And you_ll get a real afternoon pick-me-up with the array of desserts. Indulge in everything from key lime tarts to cupcakes. Chocolate-covered strawberries, tiramisu and classic Napoleons are artfully crafted and as pretty as they are tasty.
Toward the back of the space you_ll find an assortment of food, wine, to-go snacks and gifts. Stock up on cooking supplies, gourmet popcorn, Yankee Candle products and chocolate by Godiva and See_s.
WHAT TO EAT AT THIS CONVENIENT PARIS CAFê:
Chocolate êclair
Cheesecake
Chocolate raspberry mousse",Restaurants,6:00:00 AM,1:00:00 AM,11.01.2019,31.12.2019,Everyday,"3655 Las Vegas Boulevard South Las Vegas , NV 89109","36.112385, -115.171486",https://www.caesars.com/paris-las-vegas/restaurants/cafe-belle-madeleine,702 946 7000
Paris_6.jpg,ALEXXA'S BAR,"Alexxa is a force of nature, with a spirit that elevates.... the moment, the experience, the lives of people around her. She_s a traveler. An explorer. A seeker. A listener. A doer of things that matter. Ageless in her point of view, timeless in her hopes and dreams, she is in love with the world around her, from a tiny village in Africa to the biggest city on earth. She_s that rate lady: Tomboy, Glamour girl, Woman of the world. A guy_s girl, A girl_s friend. A people_s person, really. Joyous and so utterly engaging. Entertaining and so utterly engages. A maker of moments and of memories, who thrives in the company of others, who connects easily and trusts without reservation.",Restaurants,12:00:00 AM,11:59:00 PM,11.01.2019,31.12.2019,Everyday,"3655 Las Vegas Boulevard South Las Vegas , NV 89109","36.112385, -115.171486",https://www.caesars.com/paris-las-vegas/things-to-do/alexxas-bar,702 331 5100
Paris_7.jpg,LE VILLAGE BUFFET,"A departure from the traditional expectation, Las Vegas buffet dining is taken to a higher echelon at Le Village Buffet. The incredible French village setting is highlighted by live-action stations and food cooked to order. From the chefs' culinary expertise, Le Village Buffet brings to life the five provinces of France for a dynamic, multi-flavored meal. It_s also the only buffet in town to offer reservations on OpenTable.
The buffet features traditional dishes from each province. There's penne alla puttanesca from Provence. Homemade Yukon gold mashed potatoes and rotisserie chicken are inspired by Burgundy. And a selection of signature savory crepes are a nod to Brittany.
Here for dinner? Don_t leave without sampling a few macaroons along with the buffet_s highly acclaimed vanilla bean cräme brulee.
Quaint, village-like seating options allow guests to eat outside in the town square or near the fireplace in the casual dining room. Take in the scenery as each province's cottage room is decorated for its region.
Additionally, an all-you-care-to-drink special includes draft Blue Moon or Miller Lite beer, house red and white wine or Bloody Marys for $12.99.
WHAT TO EAT AT THIS LIVE-ACTION LAS VEGAS BUFFET:
Truffle macaroni and cheese
Prime rib
Snow crab legs
EXPERT TIPS
Crepe fillings can be customized upon request
OpenTable reservations assist with wait time
Dine on holidays for special featured seasonal dishes
Enjoy a large selection of pastries, pies and sugar-free delicacies
Take a culinary tour of France with fare from five French regions over various themed stations 
Buffet Pricing
 	
Adult
Children
Breakfast Weekdays 7 a.m. - 11 a.m.
$21.99
$12.99
Breakfast Weekends 7 a.m. - 10 a.m.
$23.99
$14.99
Brunch 10 a.m. - 3 p.m.
$30.99
$19.99
Lunch 11 a.m. - 3 p.m.
$24.99
$14.99
Dinner Weekdays 3 p.m. - 10 p.m.
$30.99
$17.99
Dinner Weekends 3 p.m. - 11 p.m.
 
 
$30.99
$19.99",Restaurants,7:00:00 AM,10:00:00 PM,11.01.2019,31.12.2019,Everyday,"3655 Las Vegas Boulevard South Las Vegas , NV 89109","36.112385, -115.171486",https://www.caesars.com/paris-las-vegas/restaurants/le-village-buffet,702 946 7000
Paris_8.jpg,EIFFEL TOWER RESTAURANT,"Set the scene for a memorable evening at one of the most notably romantic, fine dining spots in Las Vegas. Floor-to-ceiling windows showcase the restaurant's stunning surroundings and neighboring water show. Your Eiffel Tower Restaurant experience is intended to evoke the same romantic feeling of traveling to the Paris, France landmark. The restaurant sits more than 100 feet above the bustling action on the Strip and is located one story under the Eiffel Tower Experience observation deck.
The critically acclaimed food is as amazing as the views, so sink into a cozy booth or window-side banquette. The food presentation is a feast for the eyes as well as the stomach. Chef J. Joho_s menu is a carefully curated list of French gems, such as Whole Boneless Dover Sole, and Foie Gras Torchon with duck prosciutto and fig.
An excellent choice for Satrday and Sunay brunching (10 a.m. to 3 p.m.), visit the Eiffel Tower Restaurant to enjoy one of our Elevated Mimosas and our Lobster Eggs Benedict.""
WHAT TO EAT AT THIS FINE DINING RESTAURANT:
Foie gras torchon, fig compote
Beef Wellington, sauteed snap peas
Roast rack of lamb, tarragon jus
Rossini style filet mignon, truffle sauce
EXPERT TIPS
USA Today's Most Romantic Restaurant
Special couples VIP and proposal packages
Make a 4:30 reservation in order to assure a window table
Be certain to try the souffles",Restaurants,11:30:00 AM,3:30:00 PM,11.01.2019,31.12.2019,"Mon, Tue, Wed, Thu, Fri","3655 Las Vegas Boulevard South Las Vegas , NV 89109","36.112385, -115.171486",https://www.caesars.com/paris-las-vegas/restaurants/eiffel-tower-restaurant,702 948 6937
Paris_8.jpg,EIFFEL TOWER RESTAURANT,"Set the scene for a memorable evening at one of the most notably romantic, fine dining spots in Las Vegas. Floor-to-ceiling windows showcase the restaurant's stunning surroundings and neighboring water show. Your Eiffel Tower Restaurant experience is intended to evoke the same romantic feeling of traveling to the Paris, France landmark. The restaurant sits more than 100 feet above the bustling action on the Strip and is located one story under the Eiffel Tower Experience observation deck.
The critically acclaimed food is as amazing as the views, so sink into a cozy booth or window-side banquette. The food presentation is a feast for the eyes as well as the stomach. Chef J. Joho_s menu is a carefully curated list of French gems, such as Whole Boneless Dover Sole, and Foie Gras Torchon with duck prosciutto and fig.
An excellent choice for Satrday and Sunay brunching (10 a.m. to 3 p.m.), visit the Eiffel Tower Restaurant to enjoy one of our Elevated Mimosas and our Lobster Eggs Benedict.""
WHAT TO EAT AT THIS FINE DINING RESTAURANT:
Foie gras torchon, fig compote
Beef Wellington, sauteed snap peas
Roast rack of lamb, tarragon jus
Rossini style filet mignon, truffle sauce
EXPERT TIPS
USA Today's Most Romantic Restaurant
Special couples VIP and proposal packages
Make a 4:30 reservation in order to assure a window table
Be certain to try the souffles",Restaurants,10:00:00 AM,3:00:00 PM,11.01.2019,31.12.2019,"Sat, Sun","3655 Las Vegas Boulevard South Las Vegas , NV 89109","36.112385, -115.171486",https://www.caesars.com/paris-las-vegas/restaurants/eiffel-tower-restaurant,702 948 6937
Paris_8.jpg,EIFFEL TOWER RESTAURANT,"Set the scene for a memorable evening at one of the most notably romantic, fine dining spots in Las Vegas. Floor-to-ceiling windows showcase the restaurant's stunning surroundings and neighboring water show. Your Eiffel Tower Restaurant experience is intended to evoke the same romantic feeling of traveling to the Paris, France landmark. The restaurant sits more than 100 feet above the bustling action on the Strip and is located one story under the Eiffel Tower Experience observation deck.
The critically acclaimed food is as amazing as the views, so sink into a cozy booth or window-side banquette. The food presentation is a feast for the eyes as well as the stomach. Chef J. Joho_s menu is a carefully curated list of French gems, such as Whole Boneless Dover Sole, and Foie Gras Torchon with duck prosciutto and fig.
An excellent choice for Satrday and Sunay brunching (10 a.m. to 3 p.m.), visit the Eiffel Tower Restaurant to enjoy one of our Elevated Mimosas and our Lobster Eggs Benedict.""
WHAT TO EAT AT THIS FINE DINING RESTAURANT:
Foie gras torchon, fig compote
Beef Wellington, sauteed snap peas
Roast rack of lamb, tarragon jus
Rossini style filet mignon, truffle sauce
EXPERT TIPS
USA Today's Most Romantic Restaurant
Special couples VIP and proposal packages
Make a 4:30 reservation in order to assure a window table
