Event Picture Ref No,Event Name,Description,Interest,Start Time,End Time,Event Date,End Date,Repeat,Location ,Lat/Long,Website,Contact Number
Newyork_1.jpg,Nine Fine Irishmen,"Inspired by a group of extraordinary Irishmen who led lives of great adventure, this is a pub of epic proportions that was built in Ireland and shipped to the heart of Las Vegas! As for food and drink, our signature dishes are made of only the freshest, natural Irish ingredients that pair perfectly with the finest stouts, ales, lagers, and spirits.",Bars & Lounges,11:00:00 AM,2:45:00 AM,11.01.2019,31.12.2019,"Mon, Tue, Wed, Thu, Fri","3790 S Las Vegas Blvd, Las Vegas, NV 89109","36.102578, -115.174579",https://www.newyorknewyork.com/en/restaurants/nine-fine-irishmen.html,702 740 3311
Newyork_1.jpg,Nine Fine Irishmen,"Inspired by a group of extraordinary Irishmen who led lives of great adventure, this is a pub of epic proportions that was built in Ireland and shipped to the heart of Las Vegas! As for food and drink, our signature dishes are made of only the freshest, natural Irish ingredients that pair perfectly with the finest stouts, ales, lagers, and spirits.",Bars & Lounges,9:00:00 AM,2:45:00 AM,11.01.2019,31.12.2019,"Sat, Sun","3790 S Las Vegas Blvd, Las Vegas, NV 89109","36.102578, -115.174579",,
Newyork_2.jpg,Tom's Urban,"Meet, Eat + DrinkTom's Urban literally has something for everybody with its unique and eclectic blend of the world's favorite street foods. From signature dishes such as the Slopper and Asian Crispy Duck Wings, to America's favorite streets food like burgers, buffalo wings, sandwiches, and more, there's something for everyone. In the mood for a drink, Tom's Urban bars are the best ""watering holes"" on the Strip with a great selection of handcrafted cocktails, craft beers, fine wines, and signature ""to go"" drinks.",Bars & Lounges,7:00:00 AM,2:00:00 AM,11.01.2019,31.12.2019,"Mon, Tue, Wed, Thu","3790 S Las Vegas Blvd, Las Vegas, NV 89109","36.102578, -115.174579",https://www.newyorknewyork.com/en/restaurants/toms-urban.html,702 740 6766
Newyork_2.jpg,Tom's Urban,"Meet, Eat + DrinkTom's Urban literally has something for everybody with its unique and eclectic blend of the world's favorite street foods. From signature dishes such as the Slopper and Asian Crispy Duck Wings, to America's favorite streets food like burgers, buffalo wings, sandwiches, and more, there's something for everyone. In the mood for a drink, Tom's Urban bars are the best ""watering holes"" on the Strip with a great selection of handcrafted cocktails, craft beers, fine wines, and signature ""to go"" drinks.",Bars & Lounges,7:00:00 AM,3:00:00 AM,11.01.2019,31.12.2019,"Fri, Sat","3790 S Las Vegas Blvd, Las Vegas, NV 89109","36.102578, -115.174579",https://www.newyorknewyork.com/en/restaurants/toms-urban.html,702 740 6766
Newyork_2.jpg,Tom's Urban,"Meet, Eat + DrinkTom's Urban literally has something for everybody with its unique and eclectic blend of the world's favorite street foods. From signature dishes such as the Slopper and Asian Crispy Duck Wings, to America's favorite streets food like burgers, buffalo wings, sandwiches, and more, there's something for everyone. In the mood for a drink, Tom's Urban bars are the best ""watering holes"" on the Strip with a great selection of handcrafted cocktails, craft beers, fine wines, and signature ""to go"" drinks.",Bars & Lounges,7:00:00 AM,1:00:00 AM,11.01.2019,31.12.2019,Sun,"3790 S Las Vegas Blvd, Las Vegas, NV 89109","36.102578, -115.174579",https://www.newyorknewyork.com/en/restaurants/toms-urban.html,702 740 6766
Newyork_3.jpg,America,"A culinary journey of American style food, wine and beerGo on a culinary journey with food, wine and beer from coast to coast, all in one American setting. America also features a massive 90 x 20 foot map of the United States, highlighting America_s most iconic landmarks.America DonutsIt doesn't get more American than a delicious good old fashioned donut with a fresh cup of coffee. Baked fresh daily, the donuts, pastries and desserts at America Donuts will send your taste buds on a journey of deliciousness.",Bars & Lounges,12:00:00 AM,11:59:00 PM,11.01.2019,31.12.2019,Everyday,"3790 S Las Vegas Blvd, Las Vegas, NV 89109","36.102578, -115.174579",https://www.newyorknewyork.com/en/restaurants/america.html,702 740 6451
Newyork_13.jpg,Bar at Times Square,"The Ultimate Neighborhood BarIt's like the ultimate neighborhood bar, complete with the No. 1-rated dueling piano show in Las Vegas. Come Thirsty, Be Loud, Stay Late!",Bars & Lounges,1:00:00 PM,2:30:00 AM,11.01.2019,31.12.2019,"Mon, Tue, Wed, Thu","3790 S Las Vegas Blvd, Las Vegas, NV 89109","36.102578, -115.174579",https://www.newyorknewyork.com/en/nightlife/bar-at-times-square.html,702 740 6466
Newyork_13.jpg,Bar at Times Square,"The Ultimate Neighborhood BarIt's like the ultimate neighborhood bar, complete with the No. 1-rated dueling piano show in Las Vegas. Come Thirsty, Be Loud, Stay Late!",Bars & Lounges,11:00:00 AM,2:30:00 AM,11.01.2019,31.12.2019,"Fri, Sat, Sun","3790 S Las Vegas Blvd, Las Vegas, NV 89109","36.102578, -115.174579",https://www.newyorknewyork.com/en/nightlife/bar-at-times-square.html,702 740 6466
Newyork_14.jpg,The Chocolate Bar,"Craving Something Sweet?The Chocolate Bar is the ideal place to indulge in a perfectly crafted cocktail that will satisfy your needs. Located next to HERSHEY_S CHOCOLATE WORLD, The Chocolate Bar features classic and specialty cocktails inspired by some of your favorite treats. No matter what you're in the mood for, The Chocolate Bar has what you need.",Bars & Lounges,11:00:00 AM,2:00:00 AM,11.01.2019,31.12.2019,Everyday,"3790 S Las Vegas Blvd, Las Vegas, NV 89109","36.102578, -115.174579",https://www.newyorknewyork.com/en/nightlife/the-chocolate-bar.html,
Newyork_15.jpg,Center Bar,"Step into the Center BarStep into the Center Bar, located in the heart of New York-New York's casino floor.",Bars & Lounges,12:00:00 AM,11:59:00 PM,11.01.2019,31.12.2019,Everyday,"3790 S Las Vegas Blvd, Las Vegas, NV 89109","36.102578, -115.174579",https://www.newyorknewyork.com/en/nightlife/center-bar.html,
