Event Picture Ref No,Event Name,Description,Interest,Start Time,End Time,Event Date,End Date,Repeat,Location ,Lat/Long,Website,Contact Number
Paris_10.jpg,Martorano'S,"The homestyle cuisine at this Italian Las Vegas restaurant gets kicked up a notch thanks to the edgy attitude of Steve Martorano. The tough-talking, South Philadelphia-bred chef infuses his own East Coast upbringing into the old-school flavorings of his food, giving it a more authentic, family recipe taste. (Think rigatoni with Sunay pork gravy and South Philly cheesesteak.)
Though he famously forbids substitutions to his dishes, you'll find that traditional favorites such as penne alla vodka and linguine in white clam sauce are tasty enough just as they are. The large plate portions pair well with specialty cocktails and a lengthy wine list, including his own wine label.
Located along the property's Le Boulevard shopping and dining corridor, the large space features a bar, lounge and dining room serving dinner and lunch. The restaurant's design is influenced by the original location that Martorano (aka the ""Godfather of Italian American Cooking"") first opened in Fort Lauderdale, Florida. 
WHAT TO EAT AT THIS ITALIAN RESTAURANT
Eggplant stack
Homemade mozzarella
World Famous Meatball with gravy and ricotta cheese
Bucatini carbonara
EXPERT TIPS
Watch out for celebrities dining next to you. 
Setting a scene perfectly in sync with classic Vegas, old films such as ""Casino"" are shown in between tunes by Frank Sinatra, Dean Martin and Bobby Darin.
As the night gets later, music segues into a party mix of classic R&B, disco, slow jams and a bit of classic rock.
Try the cocktails with a scoop of water ice (a Philly favorite) for a frozen treat.",Bars & Lounges,5:00:00 PM,10:30:00 PM,11.01.2019,31.12.2019,Everyday,"3655 Las Vegas Boulevard South Las Vegas , NV 89109","36.112385, -115.171486",https://www.caesars.com/paris-las-vegas/restaurants/martorano,702 731 7778
Paris_12.jpg,Gordon Ramsay Steak,"Fiery, internationally renowned chef Gordon Ramsay opened Gordon Ramsay Steak with a bang in 2012, showcasing his famous hit dishes in an exceptional fine dining atmosphere. Enjoy the chic, swinging London ambiance between bites of caviar, fried Blue Point oysters and decadent roasted beef Wellington. Wash it down with a handcrafted cocktail mixed to perfection, such as The Antioxidant.
Featuring a towering ceiling splashed with the Union Jack Flag, the contemporary steakhouse includes a bar, lounge and two-story dining area. A chef_s table and private dining rooms are available for discerning jet-setters.
Ramsay_s cuts of prime beef are aged to perfection under a program directed by Chef Ramsay and his culinary team. Everything from steaks to fish to chops are tender slices of heaven, especially when accompanied with Alaskan king crab legs and B_arnaise sauce. Dig into his iconic beef Wellington, or opt for a 32-ounce royal long-bone chop or the duet of lamb accompanied with shepherd_s pie and a plethora of French-influenced sides and desserts. At this posh Las Vegas steakhouse, no detail is left untouched. Even the bread basket is to die for.
WHAT TO EAT AT THIS LAS VEGAS STEAKHOUSE:
Iced shellfish platter
Roasted beef Wellington
Triple seared Japanese A5 Kobe
Mac and cheese
Ramsay's legendary sticky toffee pudding
EXPERT TIPS
Table iPads showcase wine and cocktail menus
Innovative steak cart presentation for every table
Seasonal dishes and tasting menus highlight limited time flavors
Sleek and stylish design with a high-energy vibe",Bars & Lounges,4:30:00 PM,10:15:00 PM,11.01.2019,31.12.2019,Everyday,"3655 Las Vegas Boulevard South Las Vegas , NV 89109","36.112385, -115.171486",https://www.caesars.com/paris-las-vegas/restaurants/gordon-ramsay-steak,702 946 4663
Paris_13.jpg,Hexx Kitchen + Bar,"Open from 6 a.m. to midnight, with spectacular patio dining and unparalleled views of the Las Vegas Strip, we invite you to experience HEXX kitchen | bar. This unique restaurant features elevated American cuisine focused on fresh, quality-sourced ingredients as well as an extensive collection of wine, beer and hand-crafted cocktails. Whether you're looking for brunch, dinner or late-night dining this lively atmosphere lets you enjoy it all and keeps it approachable for all occasions. A visit to the Las Vegas Strip is not complete without experiencing HEXX Las Vegas.
WHAT TO EAT AT THIS AMERICAN KITCHEN
Buffalo calamari
40-ounce bone-in short rib
Greg Norman Waygu burger
HEXX eggs Benedict
Whimsical desserts
EXPERT TIPS
Open 6 a.m. - midnight
Patio dining with spectacular views of Fountains of Bellagio
Great for families, small & large party dining
Extensive wine, beer and specialty cocktail menu
For parties and groups of 16 or more, please call 702-331-5100.",Bars & Lounges,6:00:00 AM,12:00:00 AM,11.01.2019,31.12.2019,Everyday,"3655 Las Vegas Boulevard South Las Vegas , NV 89109","36.112385, -115.171486",https://www.caesars.com/paris-las-vegas/restaurants/hexx-kitchen-bar-chocolate,702 331 5100
Paris_16.jpg,Le Cafe Ile St. Louis,"Immerse yourself in the sights, sounds and flavors of a Parisian sidewalk caf_ experience right in the heart of the Las Vegas Strip. Coffee shop favorites get remixed with a French flair; think sweet and savory crepes, quiche, warm beignets, turkey croissant and a Croque Monsieur with pomme frites. Need a morning pick-me-up? Le Caf_ Ile St. Louis is also your destination of choice for specialty coffee drinks such as caf_ au lait, caf_ filter, espresso, cappuccino and latt_.
Can't decide what to order? The caf_'s three-course special is an unbeatable deal, with an appetizer, entr_e and dessert choice for $39.
The tasty breakfast, lunch, and dinner dishes are perfectly in sync with the decadent ambiance. The restaurant's ""patio"" overlooks the bustling casino floor and walkways, or choose indoor seating for a quieter meal. Twinkling lampposts, wrought-iron d_cor and greenery complement its French caf_ vibe.
WHAT TO EAT AT THIS LAS VEGAS CAFê:
Corned beef hash
French onion soup
Grilled chicken sandwich
Chocolate mousse cake
EXPERT TIPS:
Happy hour specials every evening
Large portions and sandwiches to split
Adventurous diners should try the burger with foie gras
Bar open 24 hours
Some breakfast options served all day",Bars & Lounges,12:00:00 AM,11:59:00 PM,11.01.2019,31.12.2019,Everyday,"3655 Las Vegas Boulevard South Las Vegas , NV 89109","36.112385, -115.171486",https://www.caesars.com/paris-las-vegas/restaurants/cafe-ile-st-louis,702 731 7778
Paris_20.jpg,Beer Park,"Located on a 10,000-square-foot deck overlooking the world famous Las Vegas Strip, BEER PARK features an outdoor grill, picnic tables, and more than 100 draft, can and bottle beer selections, including 36 beers on tap. Additional selections on tap include craft beer cocktails, signature cocktails and wine as well as an array of signature Bloody Marys.
All-American cuisine is served two ways: from the menu, as well as from carts serving concession-style offerings similar to what would be served at a stadium. Grilled selections are BEER PARK_s specialty, with a unique preparation method that brings the essence of Budweiser into the cuisine through preparing meats and other foods on a custom-made Beechwood Grill. Signature menu selections include the bacon-wrapped Backyard BBQ Dog, Blue Cheese Burger with Shock Top caramelized onions, St. Louis Style Spare Ribs and more. For those with a sweet tooth, concession carts offer ice cream with a HEXX Chocolate _Magic Shell,_ cotton candy and blueberry pie, among other options.
LAS VEGAS ROOFTOP BAR & GRILL
The open-air park has an atmosphere combining the feel of a classic baseball stadium and the communal charm of a city park with the spirit of Budweiser; a nostalgic combination that evokes Americana charm. The space was designed to bring people together through various seating experiences, including communal picnic tables that encourage socializing and a grassy lawn to play classic bar games like giant Jenga, pool, and darts. The atmosphere is ideal for watching football games and other sporting events, with towers on each side of the bar housing multiple high-definition televisions.
EXPERT TIPS
Dozens of high-definition TVs
36 different beers on tap
Great viewing for all your sporting events 
Spectacular Strip views ",Bars & Lounges,11:00:00 AM,2:00:00 AM,11.01.2019,31.12.2019,"Fri, Sat","3655 Las Vegas Boulevard South Las Vegas , NV 89109","36.112385, -115.171486",https://www.caesars.com/paris-las-vegas/restaurants/BeerPark,702 444 4500
Paris_26.jpg,Gustav'S Las Vegas Bar,"Paris Las Vegas_ most impressive design feature is its Eiffel Tower half scale replica, the legs of which jut down into the casino floor right next to Gustav_s. A fun, casual casino bar, it features video gaming and plenty of televisions to catch your favorite sports game.
Located in the center of the casino next to the Eiffel Tower elevators, stop by and try the popular frozen margaritas in oversized, Eiffel Tower-shaped souvenir glasses.",Bars & Lounges,12:00:00 AM,11:59:00 PM,11.01.2019,31.12.2019,Everyday,"3655 Las Vegas Boulevard South Las Vegas , NV 89109","36.112385, -115.171486",https://www.caesars.com/paris-las-vegas/things-to-do/gustavs,702 946 7000
Paris_27.jpg,Le Bar Du Sport,"The name says it all here at this quaint, open-air casino bar near the lively Race & Sports Book. Enjoy sports conversations with highly knowledgeable bartenders while viewing games on multiple large screens. Featuring an elevated atmosphere just steps away from the tables, Le Bar du Sport invites guests to catch the action while sipping specialty cocktails and beer.
FOOTBALL SEASON SPECIALS
All season long guests at Paris Las Vegas can enjoy these drink specials at Le Bar Du Sport:
Miller Coors bottles for $8 or buckets for $30
Crown Royal cocktails for $12
Don Julio Blanco cocktails or margaritas for $13
Absolut cocktails or Bloody Marys for $12
14 Hands Wine for $10
Absolut & Red Bull for $16
""The Tailgater"" hot dog special on Satrdays and Sunays with a hot dog and chips for $5",Bars & Lounges,12:00:00 AM,11:59:00 PM,11.01.2019,31.12.2019,Everyday,"3655 Las Vegas Boulevard South Las Vegas , NV 89109","36.112385, -115.171486",https://www.caesars.com/paris-las-vegas/things-to-do/le-bar-du-sport,702 946 7000
Paris_29.jpg,Le Central Bar,"Whether you_ve just checked in to your room at Paris or want to kick off the evening, the name says it all here at Le Central. The centralized meet-up bar and hangout is located between the casino floor and shopping promenade.
Featuring a beautiful display of elegant chandeliers and open-air vibe, Le Central is an inviting spot to relax with a drink. Try a glass of wine, draft beer or a Vegas-worthy specialty cocktail such as the THE DIGNITARY (featuring Bacardi Superior rum, Pavan Liqueur, Vieux Carr_ absinthe, pink peppercorn-honey syrup, fresh lemon) or the pineapple ginger mojito. Take in the sights of the casino games and revel in people-watching among the romantic, Parisian surroundings.
FOOTBALL SEASON SPECIALS
All season long guests at Paris Las Vegas can enjoy these drink specials at Le Central Bar.
Miller Coors bottles for $8 or buckets for $30
Crown Royal cocktails for $12
Don Julio Blanco cocktails or margaritas for $13
Absolut cocktails or Bloody Marys for $12
14 Hands Wine for $10
Absolut & Red Bull for $16",Bars & Lounges,12:00:00 AM,11:59:00 PM,11.01.2019,31.12.2019,Everyday,"3655 Las Vegas Boulevard South Las Vegas , NV 89109","36.112385, -115.171486",https://www.caesars.com/paris-las-vegas/things-to-do/le-central,702 946 7000
