Event Picture Ref No,Event Name,Description,Interest,Start Time,End Time,Event Date,End Date,Repeat,Location ,Lat/Long,Website,Contact Number,Social media picture,Event picture,Fb Followers,Twitter Follower,Instagram Followers,,,,,,,,,,,,,,,,
Aria_S.jpg,Bardot Brasserie,"Prepare to be reintroduced to classic French cuisine with a twist only Chef Michael Mina could bring. The menu features iconic French comfort food and an array of both New World and Old World Wines.
Add a little ?je ne sais quoi? to your afternoon with BARDOT?s new lunch program, featuring Maine Lobster Nicoise, Prime Rib French Dip, King Crab & Endive Caesar and more!",Restaurants,11:00:00 AM,2:30:00 PM,01.01.2019,31.12.2019,"Mon, Tue, Wed, Thu, Fri","3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/bardot-brasserie.html,877 230 2742,Y,Y,No page,,,,,,,,,,,,,,,,,,
Aria_S.jpg,Bardot Brasserie,"Prepare to be reintroduced to classic French cuisine with a twist only Chef Michael Mina could bring. The menu features iconic French comfort food and an array of both New World and Old World Wines.
Add a little ?je ne sais quoi? to your afternoon with BARDOT?s new lunch program, featuring Maine Lobster Nicoise, Prime Rib French Dip, King Crab & Endive Caesar and more!",Restaurants,5:30:00 PM,10:30:00 PM,01.01.2019,31.12.2019,"mon, Tue, Wed, Thu, Fri","3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/bardot-brasserie.html,877 230 2742,,,,,,,,,,,,,,,,,,,,,
Aria_S.jpg,Bardot Brasserie,"Prepare to be reintroduced to classic French cuisine with a twist only Chef Michael Mina could bring. The menu features iconic French comfort food and an array of both New World and Old World Wines.
Add a little ?je ne sais quoi? to your afternoon with BARDOT?s new lunch program, featuring Maine Lobster Nicoise, Prime Rib French Dip, King Crab & Endive Caesar and more!",Restaurants,9:30:00 AM,10:30:00 PM,01.01.2019,31.12.2019,"Sat, Sun","3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/bardot-brasserie.html,877 230 2742,,,,,,,,,,,,,,,,,,,,,
Aria_V.jpg,Lemongrass,"Take in the stunning silk factory-inspired installations, then begin your culinary tour of Thailand. Lemongrass serves a mix of authentic fare and more modern interpretations.
Stick with a familiar spicy pad Thai or be adventurous with wok-tossed live Maine lobster infused with hints of ginger and scallion. Nigori Sake and Watermelon Caipiroska make for refreshing sides to complement the spicy flavors.",Restaurants,11:00:00 AM,2:00:00 AM,01.01.2019,31.12.2019,Everyday,"3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/lemongrass.html,877 230 2742,Y,Y,1121,,,,,,,,,,,,,,,,,,
Aria_T.jpg,Herringbone,"Herringbone's ""Fish Meats Field"" social dining concept features a lounge-like setting indoors and dining al fresco. Diners can enjoy California-inspired coastal cuisine and the sounds of a nightly DJ in this dynamic setting.
The sweeping 5,500 square foot patio features covered cabanas as well as traditional tables surrounded by a lush garden landscape, bringing the restaurant?s locally sourced ethos to life and providing the ideal backdrop for a spirited al fresco meal. This is a dining concept that emphasizes socialization along with great, fresh flavors, creating a captivating, interactive experience.",Restaurants,11:00:00 AM,10:00:00 PM,01.01.2019,31.12.2019,"Mon, Tue, Wed, Thu","3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/herringbone.html,877 230 2742,y,Y,"8,285",,,,,,,,,,,,,,,,,,
Aria_T.jpg,Herringbone,"Herringbone's ""Fish Meats Field"" social dining concept features a lounge-like setting indoors and dining al fresco. Diners can enjoy California-inspired coastal cuisine and the sounds of a nightly DJ in this dynamic setting.
The sweeping 5,500 square foot patio features covered cabanas as well as traditional tables surrounded by a lush garden landscape, bringing the restaurant?s locally sourced ethos to life and providing the ideal backdrop for a spirited al fresco meal. This is a dining concept that emphasizes socialization along with great, fresh flavors, creating a captivating, interactive experience.",Restaurants,11:00:00 AM,11:00:00 PM,01.01.2019,31.12.2019,Fri,"3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/herringbone.html,877 230 2742,,,,,,,,,,,,,,,,,,,,,
Aria_T.jpg,Herringbone,"Herringbone's ""Fish Meats Field"" social dining concept features a lounge-like setting indoors and dining al fresco. Diners can enjoy California-inspired coastal cuisine and the sounds of a nightly DJ in this dynamic setting.
The sweeping 5,500 square foot patio features covered cabanas as well as traditional tables surrounded by a lush garden landscape, bringing the restaurant?s locally sourced ethos to life and providing the ideal backdrop for a spirited al fresco meal. This is a dining concept that emphasizes socialization along with great, fresh flavors, creating a captivating, interactive experience.",Restaurants,10:00:00 AM,11:00:00 PM,01.01.2019,31.12.2019,Sat,"3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/herringbone.html,877 230 2742,,,,,,,,,,,,,,,,,,,,,
Aria_T.jpg,Herringbone,"Herringbone's ""Fish Meats Field"" social dining concept features a lounge-like setting indoors and dining al fresco. Diners can enjoy California-inspired coastal cuisine and the sounds of a nightly DJ in this dynamic setting.
The sweeping 5,500 square foot patio features covered cabanas as well as traditional tables surrounded by a lush garden landscape, bringing the restaurant?s locally sourced ethos to life and providing the ideal backdrop for a spirited al fresco meal. This is a dining concept that emphasizes socialization along with great, fresh flavors, creating a captivating, interactive experience.",Restaurants,10:00:00 AM,10:00:00 PM,01.01.2019,31.12.2019,Sun,"3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/herringbone.html,877 230 2742,,,,,,,,,,,,,,,,,,,,,
Aria_W.jpg,Julian Serrano,"You can practically taste the love that Chef Julian Serrano puts into creating delectable interpretations of his native Spanish fare. Relish the comfort of Serrano ham alongside a creamy cheese platter.
Or be adventurous and sample savory white anchovy fillets and black pig pinxto topped with perfectly caramelized onions. Whatever your personality, there?s a little something to suit it.",Restaurants,11:30:00 AM,10:30:00 PM,01.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/julian-serrano.html,877 230 2742,Y,Y,"4,993",,,,,,,,,,,,,,,,,,
Aria_W.jpg,Julian Serrano,"You can practically taste the love that Chef Julian Serrano puts into creating delectable interpretations of his native Spanish fare. Relish the comfort of Serrano ham alongside a creamy cheese platter.
Or be adventurous and sample savory white anchovy fillets and black pig pinxto topped with perfectly caramelized onions. Whatever your personality, there?s a little something to suit it.",Restaurants,11:30:00 AM,11:00:00 PM,01.01.2019,31.12.2019,"Fri, Sat","3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/julian-serrano.html,877 230 2742,,,,,,,,,,,,,,,,,,,,,
