Event Picture Ref No,Event Name,Description,Interest,Start Time,End Time,Event Date,End Date,Repeat,Location ,Lat/Long,Website,Contact Number
Mirage_32.jpg,Dj Cla At 1 Oak,"A visually stunning environment1 OAK is the embodiment of sophistication, world-class service, and ultimate nightlife innovation. Converging art and fashion, famous and infamous, cutting edge and established; barriers have been deliberately torn down to create a sexy and unpredictable environment. 1 OAK Las Vegas represents the passion of the Avant-garde and embraces the new and the unknown. 1 OAK provides 16,000-square-feet of meticulously detailed architectural mastery.",Nightlife & Nightclubs,10:30:00 PM,4:00:00 AM,16.01.2019,16.01.2019,No,"3400 S Las Vegas Blvd, Las Vegas, NV 89109","36.120854, -115.176828",https://hakkasangroup.com/store/las-vegas/event/148468,702 693 8300
Mirage_33.jpg,Dj Turbulence At 1 Oak,"A visually stunning environment1 OAK is the embodiment of sophistication, world-class service, and ultimate nightlife innovation. Converging art and fashion, famous and infamous, cutting edge and established; barriers have been deliberately torn down to create a sexy and unpredictable environment. 1 OAK Las Vegas represents the passion of the Avant-garde and embraces the new and the unknown. 1 OAK provides 16,000-square-feet of meticulously detailed architectural mastery.",Nightlife & Nightclubs,10:30:00 PM,4:00:00 AM,18.01.2019,18.01.2019,No,"3400 S Las Vegas Blvd, Las Vegas, NV 89109","36.120854, -115.176828",https://hakkasangroup.com/store/las-vegas/event/148468,702 693 8300
Mirage_34.jpg,Dj Ikon At 1 Oak,"A visually stunning environment1 OAK is the embodiment of sophistication, world-class service, and ultimate nightlife innovation. Converging art and fashion, famous and infamous, cutting edge and established; barriers have been deliberately torn down to create a sexy and unpredictable environment. 1 OAK Las Vegas represents the passion of the Avant-garde and embraces the new and the unknown. 1 OAK provides 16,000-square-feet of meticulously detailed architectural mastery.",Nightlife & Nightclubs,10:30:00 PM,4:00:00 AM,19.01.2019,19.01.2019,No,"3400 S Las Vegas Blvd, Las Vegas, NV 89109","36.120854, -115.176828",https://hakkasangroup.com/store/las-vegas/event/148468,702 693 8300
Mirage_35.jpg,Desiigner At 1 Oak,"A visually stunning environment1 OAK is the embodiment of sophistication, world-class service, and ultimate nightlife innovation. Converging art and fashion, famous and infamous, cutting edge and established; barriers have been deliberately torn down to create a sexy and unpredictable environment. 1 OAK Las Vegas represents the passion of the Avant-garde and embraces the new and the unknown. 1 OAK provides 16,000-square-feet of meticulously detailed architectural mastery.",Nightlife & Nightclubs,10:30:00 PM,4:00:00 AM,23.01.2019,23.01.2019,No,"3400 S Las Vegas Blvd, Las Vegas, NV 89109","36.120854, -115.176828",https://hakkasangroup.com/store/las-vegas/event/148468,702 693 8300
Mirage_36.jpg,Justin Credible At 1 Oak,"A visually stunning environment1 OAK is the embodiment of sophistication, world-class service, and ultimate nightlife innovation. Converging art and fashion, famous and infamous, cutting edge and established; barriers have been deliberately torn down to create a sexy and unpredictable environment. 1 OAK Las Vegas represents the passion of the Avant-garde and embraces the new and the unknown. 1 OAK provides 16,000-square-feet of meticulously detailed architectural mastery.",Nightlife & Nightclubs,10:30:00 PM,4:00:00 AM,25.01.2019,25.01.2019,No,"3400 S Las Vegas Blvd, Las Vegas, NV 89109","36.120854, -115.176828",https://hakkasangroup.com/store/las-vegas/event/148468,702 693 8300
Mirage_37.jpg,Dj E-Rock At 1 Oak,"A visually stunning environment1 OAK is the embodiment of sophistication, world-class service, and ultimate nightlife innovation. Converging art and fashion, famous and infamous, cutting edge and established; barriers have been deliberately torn down to create a sexy and unpredictable environment. 1 OAK Las Vegas represents the passion of the Avant-garde and embraces the new and the unknown. 1 OAK provides 16,000-square-feet of meticulously detailed architectural mastery.",Nightlife & Nightclubs,10:30:00 PM,4:00:00 AM,26.01.2019,26.01.2019,No,"3400 S Las Vegas Blvd, Las Vegas, NV 89109","36.120854, -115.176828",https://hakkasangroup.com/store/las-vegas/event/148468,702 693 8300
Mirage_38.jpg,Mike Attack At 1 Oak,"A visually stunning environment1 OAK is the embodiment of sophistication, world-class service, and ultimate nightlife innovation. Converging art and fashion, famous and infamous, cutting edge and established; barriers have been deliberately torn down to create a sexy and unpredictable environment. 1 OAK Las Vegas represents the passion of the Avant-garde and embraces the new and the unknown. 1 OAK provides 16,000-square-feet of meticulously detailed architectural mastery.",Nightlife & Nightclubs,10:30:00 PM,4:00:00 AM,30.01.2019,30.01.2019,No,"3400 S Las Vegas Blvd, Las Vegas, NV 89109","36.120854, -115.176828",https://hakkasangroup.com/store/las-vegas/event/148468,702 693 8300
Mirage_39.jpg,Maria Romano,"A visually stunning environment1 OAK is the embodiment of sophistication, world-class service, and ultimate nightlife innovation. Converging art and fashion, famous and infamous, cutting edge and established; barriers have been deliberately torn down to create a sexy and unpredictable environment. 1 OAK Las Vegas represents the passion of the Avant-garde and embraces the new and the unknown. 1 OAK provides 16,000-square-feet of meticulously detailed architectural mastery.",Nightlife & Nightclubs,10:30:00 PM,4:00:00 AM,01.02.2019,01.02.2019,No,"3400 S Las Vegas Blvd, Las Vegas, NV 89109","36.120854, -115.176828",https://hakkasangroup.com/store/las-vegas/event/148468,702 693 8300
Mirage_40.jpg,Tory Lanez At 1 Oak,"A visually stunning environment1 OAK is the embodiment of sophistication, world-class service, and ultimate nightlife innovation. Converging art and fashion, famous and infamous, cutting edge and established; barriers have been deliberately torn down to create a sexy and unpredictable environment. 1 OAK Las Vegas represents the passion of the Avant-garde and embraces the new and the unknown. 1 OAK provides 16,000-square-feet of meticulously detailed architectural mastery.",Nightlife & Nightclubs,10:30:00 PM,4:00:00 AM,02.02.2019,02.02.2019,No,"3400 S Las Vegas Blvd, Las Vegas, NV 89109","36.120854, -115.176828",https://hakkasangroup.com/store/las-vegas/event/148468,702 693 8300
Mirage_41.jpg,Dj Karma At 1 Oak,"A visually stunning environment1 OAK is the embodiment of sophistication, world-class service, and ultimate nightlife innovation. Converging art and fashion, famous and infamous, cutting edge and established; barriers have been deliberately torn down to create a sexy and unpredictable environment. 1 OAK Las Vegas represents the passion of the Avant-garde and embraces the new and the unknown. 1 OAK provides 16,000-square-feet of meticulously detailed architectural mastery.",Nightlife & Nightclubs,10:30:00 PM,4:00:00 AM,06.02.2019,06.02.2019,No,"3400 S Las Vegas Blvd, Las Vegas, NV 89109","36.120854, -115.176828",https://hakkasangroup.com/store/las-vegas/event/148468,702 693 8300
