Event Picture Ref No,Event Name,Description,Interest,Start Time,Finish Time,Event Date,End Date,Reapeat,Location,Lat/Lon,Website,Contact Number
Bellagio_I.jpg,Lago By Julian Serrano,"Indulge without overdoing it? It?s possible, thanks to the thoroughly modern concept of small plates, here executed with an impeccable Italian focus.
Surrounded by exquisite d‚cor and gazing out over Bellagio fountain views, you?ll enjoy a singular experience perusing Chef Serrano?s menu of creative, signature flavors. Select from soups, salads, crostinis, focaccia and pizzettes, along with refreshing meat, seafood and vegetarian plates designed for sharing.

The dining room has floor-to-ceiling panoramic windows, ensuring LAGO has the most spectacular views of the resort?s iconic fountains ever experienced on The Strip. Adjacent to the dining room, an open-air patio offers waterfront seating centered on Lake Bellagio.

This new take on social dining is paired with a sophisticated mixology program that takes cocktail enthusiasts into uncharted but delicious territory",Restaurants,11:30:00 AM,11:00:00 PM,01.01.2019,31.12.2019,"Mon, Tue, Wed, Thu","3600 S Las Vegas Blvd, Bellagio Hotel, Las Vegas, NV 89109",36.112626-115.176705,https://www.bellagio.com/en/restaurants/lago.html,702 693 8865
Bellagio_I.jpg,Lago By Julian Serrano,"Indulge without overdoing it? It?s possible, thanks to the thoroughly modern concept of small plates, here executed with an impeccable Italian focus.
Surrounded by exquisite d‚cor and gazing out over Bellagio fountain views, you?ll enjoy a singular experience perusing Chef Serrano?s menu of creative, signature flavors. Select from soups, salads, crostinis, focaccia and pizzettes, along with refreshing meat, seafood and vegetarian plates designed for sharing.

The dining room has floor-to-ceiling panoramic windows, ensuring LAGO has the most spectacular views of the resort?s iconic fountains ever experienced on The Strip. Adjacent to the dining room, an open-air patio offers waterfront seating centered on Lake Bellagio.

This new take on social dining is paired with a sophisticated mixology program that takes cocktail enthusiasts into uncharted but delicious territory",Restaurants,11:30:00 AM,12:00:00 AM,01.01.2019,31.12.2019,"Fri, Sat","3600 S Las Vegas Blvd, Bellagio Hotel, Las Vegas, NV 89109",36.112626-115.176705,https://www.bellagio.com/en/restaurants/lago.html,702 693 8865
Bellagio_I.jpg,Lago By Julian Serrano,"Indulge without overdoing it? It?s possible, thanks to the thoroughly modern concept of small plates, here executed with an impeccable Italian focus.
Surrounded by exquisite d‚cor and gazing out over Bellagio fountain views, you?ll enjoy a singular experience perusing Chef Serrano?s menu of creative, signature flavors. Select from soups, salads, crostinis, focaccia and pizzettes, along with refreshing meat, seafood and vegetarian plates designed for sharing.

The dining room has floor-to-ceiling panoramic windows, ensuring LAGO has the most spectacular views of the resort?s iconic fountains ever experienced on The Strip. Adjacent to the dining room, an open-air patio offers waterfront seating centered on Lake Bellagio.

This new take on social dining is paired with a sophisticated mixology program that takes cocktail enthusiasts into uncharted but delicious territory",Restaurants,10:30:00 AM,11:00:00 PM,01.01.2019,31.12.2019,Sun,"3600 S Las Vegas Blvd, Bellagio Hotel, Las Vegas, NV 89109",36.112626-115.176705,https://www.bellagio.com/en/restaurants/lago.html,702 693 8865
Bellagio_E.jpg,Harvestÿ,"Bellagio welcomes Harvest by Roy Ellamar to Las Vegas. Chef Roy?s market-inspired menu is a breath of fresh air in Las Vegas, meeting the health-conscious demands of today?s travelers and diners while simultaneously delivering fresh, creative dishes that are full of flavor.
Chef Roy?s culinary philosophy was cultivated as a child where he was surrounded by farmers, foragers and fishermen, gaining a true appreciation for the provenance of ingredients and the relationship with the producers. Working at restaurants throughout Hawaii, Chicago, Beverly Hills ? and as executive chef of Sensi in Bellagio ? he has become a staunch advocate of local agriculture and sustainably produced proteins.

In a custom-designed space designed by award-winning architects Gensler & Associates, Harvest will treat guests to menu selections that include: charcuterie and artisanal cheeses and preserves; opulent vegetarian dishes; sustainable seafood cooked in a stone oven; grilled, dry-aged and grass-fed beef; organic poultry and game from the rotisserie; along with adventurous small bites, market-driven sides and a line-up of classic cocktails featuring cold-pressed juices and homegrown herbs.",Restaurants,5:00:00 PM,10:00:00 PM,01.01.2019,31.12.2019,Everday,"3600 S Las Vegas Blvd, Bellagio Hotel, Las Vegas, NV 89109",36.112626-115.176705,https://www.bellagio.com/en/restaurants/harvest.html,702 693 8865
Bellagio_D.jpg,Fix Restaurant & Bar,"When you want a classic meal executed well, with fresh, mouth-watering ingredients, Fix has you covered. The restaurant?s wood-burning grill is an undeniable focus of the menu, turning out top-quality steak, chicken and tasty flatbreads. The varied menu also includes original small and shared plates such as lobster tacos, and ""finger-licking"" buffalo-style wings. Classic sides with a dash of decadence?like the Ultimate Very Adult Mac & Cheese?pair perfectly with excellent chops and seafood, as they do with our delicious salads.
A special ""Pre-O Fix"" menu provides ticket holders the ideal culinary complement to one of Cirque du Soleil's most popular shows, and an extensive wine list promises the perfect pairing to a flavorful dinner.

Located at the North Valet entrance, Fix provides easy access to a variety of nightlife options and serves as the epicenter for planning an outstanding night out at The Bellagio.

With Costa Rican wood interiors and an open-plan setting, Fix is a fabulous spot to people watch and be seen enjoying one of our most contemporary eateries",Restaurants,5:00:00 PM,10:30:00 PM,01.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3600 S Las Vegas Blvd, Bellagio Hotel, Las Vegas, NV 89109",36.112626-115.176705,https://www.bellagio.com/en/restaurants/fix-restaurant-bar.html,702 693 8865
Bellagio_D.jpg,Fix Restaurant & Bar,"MWhen you want a classic meal executed well, with fresh, mouth-watering ingredients, Fix has you covered. The restaurant?s wood-burning grill is an undeniable focus of the menu, turning out top-quality steak, chicken and tasty flatbreads. The varied menu also includes original small and shared plates such as lobster tacos, and ""finger-licking"" buffalo-style wings. Classic sides with a dash of decadence?like the Ultimate Very Adult Mac & Cheese?pair perfectly with excellent chops and seafood, as they do with our delicious salads.
A special ""Pre-O Fix"" menu provides ticket holders the ideal culinary complement to one of Cirque du Soleil's most popular shows, and an extensive wine list promises the perfect pairing to a flavorful dinner.

Located at the North Valet entrance, Fix provides easy access to a variety of nightlife options and serves as the epicenter for planning an outstanding night out at The Bellagio.

With Costa Rican wood interiors and an open-plan setting, Fix is a fabulous spot to people watch and be seen enjoying one of our most contemporary eateries",Restaurants,5:00:00 PM,12:00:00 AM,01.01.2019,31.12.2019,"Fri, Sat","3600 S Las Vegas Blvd, Bellagio Hotel, Las Vegas, NV 89109",36.112626-115.176705,https://www.bellagio.com/en/restaurants/fix-restaurant-bar.html,702 693 8865
Bellagio_T.jpg,Yellowtail Japanese Restaurant & Lounge,"It?s as close as you can get to Japan on the Las Vegas Strip. Yellowtail Japanese Restaurant & Lounge's showcases innovative dishes from traditional and contemporary Japanese cuisine, and pairs them with an abundant selection of specialty sakes and panoramic views of Bellagio's iconic Fountains of Bellagio.
The centerpiece of this multi-sensory dining experience is award-winning Chef Akira Back's menu of authentic traditional and modern Japanese cuisine dishes, which includes seasonal fish and ingredients flown in daily from the finest markets and purveyors around the world, brought to your plate as sushi, sashimi, tempura, and hand rolls.

Yellowtail Japanese Restaurant & Lounge's expansive space and elegant wood and stone d‚cor foster a vibrant atmosphere for a memorable Las Vegas evening. A 25-by-13-foot bronze wall-mounted installation of the dorsal side of the yellowtail fish greets you at the entrance, as a hint of what?s to come.

In addition to traditional raw fish preparations, Chef Back creates a selection of innovative dishes inspired by his global travels and his time spent working with industry icons such as Nobu and Morimoto.

The restaurant?s hand-selected sake collection is extensive, encompassing the classic to the avant-garde and representing many prefectures from across Japan.",Restaurants,5:00:00 PM,10:00:00 PM,01.01.2019,31.12.2019,"Mon, Tue, Wed, Thu","3600 S Las Vegas Blvd, Bellagio Hotel, Las Vegas, NV 89109",36.112626-115.176705,https://www.bellagio.com/en/restaurants/yellowtail-japanese-restaurant-lounge.html,702 693 8865
Bellagio_T.jpg,Yellowtail Japanese Restaurant & Lounge,"It?s as close as you can get to Japan on the Las Vegas Strip. Yellowtail Japanese Restaurant & Lounge's showcases innovative dishes from traditional and contemporary Japanese cuisine, and pairs them with an abundant selection of specialty sakes and panoramic views of Bellagio's iconic Fountains of Bellagio.
The centerpiece of this multi-sensory dining experience is award-winning Chef Akira Back's menu of authentic traditional and modern Japanese cuisine dishes, which includes seasonal fish and ingredients flown in daily from the finest markets and purveyors around the world, brought to your plate as sushi, sashimi, tempura, and hand rolls.

Yellowtail Japanese Restaurant & Lounge's expansive space and elegant wood and stone d‚cor foster a vibrant atmosphere for a memorable Las Vegas evening. A 25-by-13-foot bronze wall-mounted installation of the dorsal side of the yellowtail fish greets you at the entrance, as a hint of what?s to come.

In addition to traditional raw fish preparations, Chef Back creates a selection of innovative dishes inspired by his global travels and his time spent working with industry icons such as Nobu and Morimoto.

The restaurant?s hand-selected sake collection is extensive, encompassing the classic to the avant-garde and representing many prefectures from across Japan.",Restaurants,5:00:00 PM,11:00:00 PM,01.01.2019,31.12.2019,"Fri, Sat, Sun","3600 S Las Vegas Blvd, Bellagio Hotel, Las Vegas, NV 89109",36.112626-115.176705,https://www.bellagio.com/en/restaurants/yellowtail-japanese-restaurant-lounge.html,702 693 8865
Bellagio_Q.jpg,Prime Steakhouse,"""I think the role of a chef, is not just to cook, but to create cravings.""
?Chef Jean-Georges Vongerichten

Savor every rich detail. Award-winning, four-star celebrity chef and restaurateur Jean-Georges Vongerichten invites you to experience steakhouse dining at its finest. Savor prime steak, seafood and lamb accompanied by fabulous sauces, sides and meticulously selected wines. The setting for this most memorable culinary experience is a handsomely designed dining room by Michael DeSantis, dressed in deep chocolate brown and delicate Tiffany blue. Commissioned artwork by Carlo Maria Mariani, George Deem and Michael Gregory, as well as a water-themed canvas screen created by Joseph Raffael, adorn the walls and a garden patio provides the perfect outdoor setting for a serene dining experience.",Restaurants,5:00:00 PM,11:00:00 AM,01.01.2019,31.12.2019,Everday,"3600 S Las Vegas Blvd, Bellagio Hotel, Las Vegas, NV 89109",36.112626-115.176705,https://www.bellagio.com/en/restaurants/prime-steakhouse.html,702 693 8865
Bellagio_B.jpg,The Buffet,"Leave your misconceptions of buffet dining at the door, because The Buffet at Bellagio is an experience like no other in Las Vegas. Here, our talented chefs bring together the freshest ingredients and the best dishes from around the world, including Italian, Japanese, Chinese and American cuisines plus a whole lot more. Be wowed by the talent on display at our live-action cooking stations and take your taste buds on a journey of discovery as you sample favorite dishes and new temptations.",Restaurants,7:00:00 AM,10:00:00 PM,01.01.2019,31.12.2019,Everday,"3600 S Las Vegas Blvd, Bellagio Hotel, Las Vegas, NV 89109",36.112626-115.176705,https://www.bellagio.com/en/restaurants/the-buffet.html,702 693 8865
