Event Picture Ref No,Event Name,Description,Interest,Start Time,End Time,Event Date,End Date,Repeat,Location ,Lat/Long,Website,Contact Number
Flamingo_6.jpg,Paradise Garden Buffet,"The brunch buffet features all-new action with breakfast and lunch offerings available from open to close daily. New breakfast selections include Southern and Mexican influenced dishes as well as a made-to-order omelet station and waffles. Lunch offerings include Classic American, Asian and Southern influenced dishes. A complete salad bar including fresh tossed specialty salads. Rounding it out on a sweet note, the buffet features a dessert bar and made-to-order crepes.
Station themes remain the same while specific items at each station constantly change, leaving an extensive amount of options and creating a new experience with each visit. The abundance of choices continues with the buffet_s beverage selection. 
WHAT TO EAT AT THIS SCENIC LAS VEGAS BUFFET:
Made-to-order omelet station
Cajun and Southern-inspired dishes
Made-to-order crepes station
EXPERT TIPS
Sprawling spread of desserts, plus frozen yogurt
Peaceful view of nearby flamingos, birds and ducks
Use the Buffet of Buffets pass here",Restaurants,7:00:00 AM,2:00:00 PM,11.01.2019,31.12.2019,Everyday,"3555 Las Vegas Boulevard South, Las Vegas, NV 89109","36.116424, -115.170781",https://www.caesars.com/flamingo-las-vegas/restaurants/paradise-garden-buffet,702 777 2782
Flamingo_6.jpg,Paradise Garden Buffet,"The brunch buffet features all-new action with breakfast and lunch offerings available from open to close daily. New breakfast selections include Southern and Mexican influenced dishes as well as a made-to-order omelet station and waffles. Lunch offerings include Classic American, Asian and Southern influenced dishes. A complete salad bar including fresh tossed specialty salads. Rounding it out on a sweet note, the buffet features a dessert bar and made-to-order crepes.
Station themes remain the same while specific items at each station constantly change, leaving an extensive amount of options and creating a new experience with each visit. The abundance of choices continues with the buffet_s beverage selection. 
WHAT TO EAT AT THIS SCENIC LAS VEGAS BUFFET:
Made-to-order omelet station
Cajun and Southern-inspired dishes
Made-to-order crepes station
EXPERT TIPS
Sprawling spread of desserts, plus frozen yogurt
Peaceful view of nearby flamingos, birds and ducks
Use the Buffet of Buffets pass here",Restaurants,5:00:00 PM,10:00:00 PM,11.01.2019,31.12.2019,"Fri, Sat","3555 Las Vegas Boulevard South, Las Vegas, NV 89109","36.116424, -115.170781",https://www.caesars.com/flamingo-las-vegas/restaurants/paradise-garden-buffet,702 777 2782
Flamingo_7.jpg,Center Cut Steakhouse,"
A classic Las Vegas hotel like Flamingo has to have a classic steakhouse, which can be found in at Center Cut. Guests can relax in the romantic room, dimly lit with a black and white retro cool theme harkening back to the Flamingo's historically legendary perch on Las Vegas Boulevard.
Located near Flamingo's entrance to The LINQ Promenade, Center Cut features an ""old Vegas"" fine dining ambiance intertwined with a traditional steakhouse menu. Enjoy premium beef and meats here through U.S.-raised cows, 100 percent free of hormones and steroids.Top steaks with Dungeness crab or foie gras add-ons or order filet ""Oscar"" style with crab meat, asparagus and B_arnaise sauce. Dig in to splurges such as the 20-ounce rib-eye, mix it up with a Kobe burger or lobster tail with filet, and don't forget a chopped salad, vegetables and a dessert.
The steakhouse features an amazing daily happy hour from 5 p.m. to 7 p.m. with draught beer, house wines & cocktails for only $5 and food specials including Waygu sliders, beef skewers, dirty- spiced fries & more.
WHAT TO EAT AT THIS CLASSIC VEGAS STEAKHOUSE:
20-ounce Porterhouse Steak
16-ounce Prime Boneless Rib Eye
Cr_me Brulee
3 Course Prime Rib Special $50",Restaurants,5:00:00 PM,10:00:00 PM,11.01.2019,31.12.2019,Everyday,"3555 Las Vegas Boulevard South, Las Vegas, NV 89109","36.116424, -115.170781",https://www.caesars.com/flamingo-las-vegas/restaurants/center-cut-steakhouse,702 784 8821 
Flamingo_8.jpg,Margaritaville˜,"Get whisked away to the islands at Margaritaville, Jimmy Buffett's iconic chain inspired by his breezy beats and island lifestyle. Located through the casino and directly on Las Vegas Boulevard, the multi-level Caribbean-themed restaurant features two outdoor patios. Sip on its signature blended libations and party with fellow ""Parrotheads""_the nickname given to the flock of Buffett's devoted followers.
An all-encompassing hot spot, Margaritaville features a 12,000-square-foot, three-level restaurant with six bars and live entertainment nightly both indoors and outdoors.
Its nautical influences are woven into everything from the d_cor to the drinks, menu and music.
