Event Picture Ref No,Event Name,Description,Interest,Start Time,End Time,Event Date,End Date,Repeat,Location ,Lat/Long,Website,Contact Number
MGM_8.jpg,Tom Colicchio's Craftsteak,"""Top Chef personality and James Beard Award-winning chef Tom Colicchio uses only the finest ingredients to create dishes bursting with flavor. The menu features ingredients from small family farms, artisanal producers and day-boat fisherman, prepared to capture the true flavor and essence of each dish.And while steak is front-and-center, guests can also find specialties like fresh salmon, veal and lobster to pair with Craftsteak_s award-winning wine, bourbon and scotch list.""",Restaurants,5:00:00 PM,10:00:00 PM,11.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3770 S Las Vegas Blvd, Las Vegas, NV 89109","36.102628, -115.171523",https://www.mgmgrand.com/en/restaurants/craftsteak-steak-house.html,702 891 7318
MGM_8.jpg,Tom Colicchio's Craftsteak,"""Top Chef personality and James Beard Award-winning chef Tom Colicchio uses only the finest ingredients to create dishes bursting with flavor. The menu features ingredients from small family farms, artisanal producers and day-boat fisherman, prepared to capture the true flavor and essence of each dish.And while steak is front-and-center, guests can also find specialties like fresh salmon, veal and lobster to pair with Craftsteak_s award-winning wine, bourbon and scotch list.""",Restaurants,5:00:00 PM,10:30:00 PM,11.01.2019,31.12.2019,"Fri, Sat","3770 S Las Vegas Blvd, Las Vegas, NV 89109","36.102628, -115.171523",https://www.mgmgrand.com/en/restaurants/craftsteak-steak-house.html,702 891 7318
MGM_9.jpg,Morimoto Las Vegas,"The contemporary Japanese design of Morimoto Las Vegas combines delicate Japanese beauty and elegance, with exotic photographs by Yasumichi Morita, to create a stunning restaurant with a signature Morimoto touch. From the moment guests arrive, they will begin to experience Las Vegas in a new way; The Morimoto way.",Restaurants,5:00:00 PM,10:00:00 PM,11.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3770 S Las Vegas Blvd, Las Vegas, NV 89109","36.102628, -115.171523",https://www.mgmgrand.com/en/restaurants/morimoto.html,702 891 3001
MGM_9.jpg,Morimoto Las Vegas,"The contemporary Japanese design of Morimoto Las Vegas combines delicate Japanese beauty and elegance, with exotic photographs by Yasumichi Morita, to create a stunning restaurant with a signature Morimoto touch. From the moment guests arrive, they will begin to experience Las Vegas in a new way; The Morimoto way.",Restaurants,5:00:00 PM,10:30:00 PM,11.01.2019,31.12.2019,"Fri, Sat","3770 S Las Vegas Blvd, Las Vegas, NV 89109","36.102628, -115.171523",https://www.mgmgrand.com/en/restaurants/morimoto.html,702 891 3001
MGM_10.jpg,China Tang,"The renowned Hong Kong based Lai Sun Group officially makes its Western Hemisphere debut with China Tang, now open at MGM Grand in Las Vegas. China Tang crafts a unique dining experience that revives the glory of the Tang Dynasty, regarded as China_s golden age of cosmopolitan culture and cuisine.",Restaurants,5:00:00 PM,10:00:00 PM,11.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3770 S Las Vegas Blvd, Las Vegas, NV 89109","36.102628, -115.171523",https://www.mgmgrand.com/en/restaurants/china-tang.html,702 891 3110
MGM_10.jpg,China Tang,"The renowned Hong Kong based Lai Sun Group officially makes its Western Hemisphere debut with China Tang, now open at MGM Grand in Las Vegas. China Tang crafts a unique dining experience that revives the glory of the Tang Dynasty, regarded as China_s golden age of cosmopolitan culture and cuisine.",Restaurants,5:00:00 PM,10:30:00 PM,11.01.2019,31.12.2019,"Fri, Sat","3770 S Las Vegas Blvd, Las Vegas, NV 89109","36.102628, -115.171523",https://www.mgmgrand.com/en/restaurants/china-tang.html,702 891 3110
MGM_11.jpg,Hecho En Vegas Mexican Grill & Cantina,"What Happens En Vegas_Hecho en Vegas is the spot for Mexican Cuisine in the MGM Grand. Choose from over 100 tequilas while dining in the brightly colored cantina or kick back on the open patio for some excellent people watching. Hecho en Vegas is perfect for informal large group dinners like Bachelorette Parties and Birthday Celebrations.",Restaurants,5:00:00 PM,10:00:00 PM,11.01.2019,31.12.2019,"Wed, Thu, Fri, Sat, Sun","3770 S Las Vegas Blvd, Las Vegas, NV 89109","36.102628, -115.171523",https://www.mgmgrand.com/en/restaurants/hecho-en-vegas.html#/Tequila%20Dinner,702 891 3200
MGM_12.jpg,Greek Sneek,"Mediterranean GrillGreek Sneek serves Greek and Mediterranean cuisine created by executive chef, William DeMarco, along with hand-crafted Greek cocktails, inspired by native spirits, in addition to Greek wines, beers and Ouzo selections. Greek Sneek is a Morton Group restaurant.",Restaurants,5:00:00 PM,10:00:00 PM,11.01.2019,31.12.2019,"Mon, Tue, Wed, Thu, Fri, Sat","3770 S Las Vegas Blvd, Las Vegas, NV 89109","36.102628, -115.171523",https://www.mgmgrand.com/en/restaurants/greek-sneek.html,702 891 3228
MGM_13.jpg,Crush,"Food InfatuationSumptuous and social dining with American cuisine by Chef William DeMarco, to pair with playfully handcrafted cocktails, wine or beer from expertly curated lists. Crush is a Morton Group restaurant.",Restaurants,5:30:00 PM,10:00:00 PM,11.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3770 S Las Vegas Blvd, Las Vegas, NV 89109","36.102628, -115.171523",https://www.mgmgrand.com/en/restaurants/crush.html,702 891 3222
MGM_13.jpg,Crush,"Food InfatuationSumptuous and social dining with American cuisine by Chef William DeMarco, to pair with playfully handcrafted cocktails, wine or beer from expertly curated lists. Crush is a Morton Group restaurant.",Restaurants,5:00:00 PM,10:00:00 PM,11.01.2019,31.12.2019,"Fri, Sat","3770 S Las Vegas Blvd, Las Vegas, NV 89109","36.102628, -115.171523",https://www.mgmgrand.com/en/restaurants/crush.html,702 891 3222
MGM_14.jpg,MGM Grand Buffet,"Grandest of BuffetsThe MGM Grand Buffet_s enormous array of cuisine is sure to grant your culinary wishes. From the Champagne brunch to the endless beer and wine with our dinner Prime Rib and Crab Legs, guests will find plenty of favorite dishes.",Restaurants,7:00:00 AM,9:30:00 AM,11.01.2019,31.12.2019,"Mon, Tue, Wed, Thu","3770 S Las Vegas Blvd, Las Vegas, NV 89109","36.102628, -115.171523",https://www.mgmgrand.com/en/restaurants/mgm-grand-buffet.html,702 891 7433
MGM_14.jpg,MGM Grand Buffet,"Grandest of BuffetsThe MGM Grand Buffet_s enormous array of cuisine is sure to grant your culinary wishes. From the Champagne brunch to the endless beer and wine with our dinner Prime Rib and Crab Legs, guests will find plenty of favorite dishes.",Restaurants,7:00:00 AM,10:00:00 PM,11.01.2019,31.12.2019,"Fri, Sat, Sun","3770 S Las Vegas Blvd, Las Vegas, NV 89109","36.102628, -115.171523",https://www.mgmgrand.com/en/restaurants/mgm-grand-buffet.html,702 891 7433
MGM_15.jpg,Jo‰l Robuchon,"French PerfectionWhen only the best will do for dinner, visit Jo‰l Robuchon_s unparalleled French restaurant. This unforgettable Three Michelin Star restaurant caters to a sophisticated palate and was designed to resemble a luxurious Art Deco townhouse complete with a lush garden terrace and marble floors.Winner of Forbes Five Star, AAA Five Diamond and Wine Spectator_s Grand Award, Jo‰l Robuchon has redefined Vegas dining. Quiet and intimate, this experience promises to be one of the finest meals of your life.",Restaurants,5:30:00 PM,10:00:00 PM,11.01.2019,31.12.2019,Everyday,"3770 S Las Vegas Blvd, Las Vegas, NV 89109","36.102628, -115.171523",https://www.mgmgrand.com/en/restaurants/joel-robuchon-french-restaurant.html,702 891 7925
MGM_16.jpg,FiAMMA Italian Kitchen,"So DeliziosoFrom Sicily to Milan, FiAMMA features a sophisticated take on traditional Italian cuisine in an intimate setting filled with comfy leather seating and a roaring fireplace.Feast on hearty, fresh pastas handcrafted daily and pair them with an award-winning wine list with over 700 selections from all over the world. Italian for flame, FiAMMA_s intimate fireside lounge is the perfect setting to enjoy a cocktail before or after your meal.",Restaurants,5:00:00 PM,10:00:00 PM,11.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3770 S Las Vegas Blvd, Las Vegas, NV 89109","36.102628, -115.171523",https://www.mgmgrand.com/en/restaurants/fiamma-italian-restaurant-bar.html,702 891 7600
MGM_16.jpg,FiAMMA Italian Kitchen,"So DeliziosoFrom Sicily to Milan, FiAMMA features a sophisticated take on traditional Italian cuisine in an intimate setting filled with comfy leather seating and a roaring fireplace.Feast on hearty, fresh pastas handcrafted daily and pair them with an award-winning wine list with over 700 selections from all over the world. Italian for flame, FiAMMA_s intimate fireside lounge is the perfect setting to enjoy a cocktail before or after your meal.",Restaurants,5:00:00 PM,10:30:00 PM,11.01.2019,31.12.2019,"Fri, Sat","3770 S Las Vegas Blvd, Las Vegas, NV 89109","36.102628, -115.171523",https://www.mgmgrand.com/en/restaurants/fiamma-italian-restaurant-bar.html,702 891 7600
MGM_17.jpg,Michael Mina PUB 1842,"Cheers and BeersRaise a toast to PUB 1842, Michael Mina_s innovative twist on classic pub fare. Named for the year Pilsner beer was invented, the pub features a menu of playful comfort food and a great selection of unique whiskeys, hand-crafted cocktails and more than 30 beers on tap with a focus on craft beer from around the country.Of course, no pub would be complete without an extensive burger list. So Chef Mina has created a variety of inventive selections, signature entrees, and a full BBQ menu.",Restaurants,11:30:00 AM,10:00:00 PM,11.01.2019,31.12.2019,"Mon, Tue, Wed, Thu, Fri,","3770 S Las Vegas Blvd, Las Vegas, NV 89109","36.102628, -115.171523",https://www.mgmgrand.com/en/restaurants/michael-mina-pub-1842.html,702 891 3922
