Event Picture Ref No,Event Name,Description,Interest,Start Time,Finish Time,Event Date,End Date,Reapeat,Location,Lat/Lon,Website,Contact Number
Caesers_56.jpg,Smashburger,"These handcrafted burgers are smashed, seared and seasoned to order, using fresh, never frozen 100 percent Certified Angus Beef©. Whether you choose the Classic Smashburger or decide to create your own, the artisan buns, freshly chopped produce, flavorful sauces and variety of cheeses are designed to deliver a great-tasting, juicy burger you can taste in every bite. ",CAFES,7:00:00 AM,1:00:00 AM,01.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,http://cafeamericanovegas.com/?utm_campaign=GMB&utm_source=google&utm_medium=local&utm_term=CafeAmericano&utm_content=Restaurant,1 866 503 4782
Caesers_56.jpg,Smashburger,"These handcrafted burgers are smashed, seared and seasoned to order, using fresh, never frozen 100 percent Certified Angus Beef©. Whether you choose the Classic Smashburger or decide to create your own, the artisan buns, freshly chopped produce, flavorful sauces and variety of cheeses are designed to deliver a great-tasting, juicy burger you can taste in every bite. ",CAFES,7:00:00 AM,4:30:00 AM,01.01.2019,31.12.2019,"Fri, Sat","3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,http://cafeamericanovegas.com/?utm_campaign=GMB&utm_source=google&utm_medium=local&utm_term=CafeAmericano&utm_content=Restaurant,1 866 503 4782
Caesers_57.jpg,Earl Of Sandwich,"Here, the ultimate Las Vegas sandwich is much more than just meat between two slices of bread. The extensive menu brings sandwiches to a whole new artistic level, each made with fresh-baked, artisan bread and the finest ingredients.",CAFES,11:00:00 AM,11:00:00 PM,01.01.2019,31.12.2019,Everyday,"3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,http://cafeamericanovegas.com/?utm_campaign=GMB&utm_source=google&utm_medium=local&utm_term=CafeAmericano&utm_content=Restaurant,1 866 503 4782
Caesers_58.jpg,Crepes And More,"Perfect for any time of the day, Crepes and More offers a variety of sweet and savory crepes. The menu also includes sweets and treats, such as ice cream sundaes, bagels, croissants, parfaits, and fruit. Complete your meal with a specialty coffee by Intelligentsia or gourmet tea by Forte.",CAFES,7:00:00 AM,11:00:00 PM,01.01.2019,31.12.2019,Everyday,"3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,http://cafeamericanovegas.com/?utm_campaign=GMB&utm_source=google&utm_medium=local&utm_term=CafeAmericano&utm_content=Restaurant,1 866 503 4782
Caesers_59.jpg,The Halal Guys,"Perfect for lunch, dinner or evening cravings, The Halal Guys is open late into the night to cater to night owls looking for a post-OMNIA Nightclub bite. The menu features signature sandwiches and platters with a choice of chicken, beef gyro, chicken and gyro combo or crispy falafel- all seasoned to perfection. Meals are made to be customized with toppings like smooth hummus, smoky baba ghanoush, golden fries, white sauce, or fiery hot sauce.ÿ",CAFES,11:00:00 AM,3:00:00 AM,01.01.2019,31.12.2019,"Sun, Tue, Thu","3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,http://cafeamericanovegas.com/?utm_campaign=GMB&utm_source=google&utm_medium=local&utm_term=CafeAmericano&utm_content=Restaurant,1 866 503 4782
Caesers_59.jpg,The Halal Guys,"Perfect for lunch, dinner or evening cravings, The Halal Guys is open late into the night to cater to night owls looking for a post-OMNIA Nightclub bite. The menu features signature sandwiches and platters with a choice of chicken, beef gyro, chicken and gyro combo or crispy falafel- all seasoned to perfection. Meals are made to be customized with toppings like smooth hummus, smoky baba ghanoush, golden fries, white sauce, or fiery hot sauce.ÿ",CAFES,11:00:00 AM,1:00:00 AM,01.01.2019,31.12.2019,"Mon, Wed","3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,http://cafeamericanovegas.com/?utm_campaign=GMB&utm_source=google&utm_medium=local&utm_term=CafeAmericano&utm_content=Restaurant,1 866 503 4782
Caesers_59.jpg,The Halal Guys,"Perfect for lunch, dinner or evening cravings, The Halal Guys is open late into the night to cater to night owls looking for a post-OMNIA Nightclub bite. The menu features signature sandwiches and platters with a choice of chicken, beef gyro, chicken and gyro combo or crispy falafel- all seasoned to perfection. Meals are made to be customized with toppings like smooth hummus, smoky baba ghanoush, golden fries, white sauce, or fiery hot sauce.ÿ",CAFES,11:00:00 AM,4:30:00 AM,01.01.2019,31.12.2019,"Fri, Sat","3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,http://cafeamericanovegas.com/?utm_campaign=GMB&utm_source=google&utm_medium=local&utm_term=CafeAmericano&utm_content=Restaurant,1 866 503 4782
Caesers_60.jpg,Difara Pizza,"Get a taste of East Coast Italian right in Las Vegas. Ingredients such as fresh olive oil, basil, Parmesan, tomato sauce and gourmet toppings make each pizza a slice of heaven. Voted as one of the 14 Best Pizza Places in Las Vegas by Thrillist.",CAFES,11:00:00 AM,3:00:00 AM,01.01.2019,31.12.2019,"Sun, Tue, Thu","3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,http://cafeamericanovegas.com/?utm_campaign=GMB&utm_source=google&utm_medium=local&utm_term=CafeAmericano&utm_content=Restaurant,1 866 503 4782
Caesers_60.jpg,Difara Pizza,"Get a taste of East Coast Italian right in Las Vegas. Ingredients such as fresh olive oil, basil, Parmesan, tomato sauce and gourmet toppings make each pizza a slice of heaven. Voted as one of the 14 Best Pizza Places in Las Vegas by Thrillist.",CAFES,11:00:00 AM,1:00:00 AM,01.01.2019,31.12.2019,"Every Monday, Wednesday","3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,http://cafeamericanovegas.com/?utm_campaign=GMB&utm_source=google&utm_medium=local&utm_term=CafeAmericano&utm_content=Restaurant,1 866 503 4782
Caesers_60.jpg,Difara Pizza,"Get a taste of East Coast Italian right in Las Vegas. Ingredients such as fresh olive oil, basil, Parmesan, tomato sauce and gourmet toppings make each pizza a slice of heaven. Voted as one of the 14 Best Pizza Places in Las Vegas by Thrillist.",CAFES,11:00:00 AM,4:30:00 AM,01.01.2019,31.12.2019,"Fri, Sat","3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,http://cafeamericanovegas.com/?utm_campaign=GMB&utm_source=google&utm_medium=local&utm_term=CafeAmericano&utm_content=Restaurant,1 866 503 4782
