Event Picture Ref No,Event Name,Description,Interest,Start Time,End Time,Event Date,End Date,Repeat,Location ,Lat/Long,Website,Contact Number
Wynn_1.jpg,Allegro,"Chef Enzo Febbraro creates Italian-American favorites that retain the authentic flavors of his home in Italy by using only the freshest ingredients at Allegro. Well-positioned at the hub of many not-to-be-missed offerings at Wynn, Allegro is just steps from the Wynn and Encore show theaters. The energy of the open kitchen with its wood-burning oven complements the many house-made menu items like fresh pastas, wood stone fired pizzas and Chef Febbraro's signature burrata that he crafts each evening.DINNER & SHOW PAIRINGS Pair a three-course specialty menu and drink with a ticket to experience one of the legendary performers appearing in the intimate Encore Theater or the award-winning aquatic spectacular Le Rˆve _ The Dream.",Restaurants,5:00:00 PM,6:00:00 AM,11.01.2019,31.12.2019,"Mon, Tue, Wed, Thu, Fri","3131 S Las Vegas Blvd, Las Vegas, NV 89109",36.093391-115.173027,https://www.wynnlasvegas.com/Dining/CasualDining/Allegro,702 770 2040
Wynn_1.jpg,Allegro,"Chef Enzo Febbraro creates Italian-American favorites that retain the authentic flavors of his home in Italy by using only the freshest ingredients at Allegro. Well-positioned at the hub of many not-to-be-missed offerings at Wynn, Allegro is just steps from the Wynn and Encore show theaters. The energy of the open kitchen with its wood-burning oven complements the many house-made menu items like fresh pastas, wood stone fired pizzas and Chef Febbraro's signature burrata that he crafts each evening.DINNER & SHOW PAIRINGS Pair a three-course specialty menu and drink with a ticket to experience one of the legendary performers appearing in the intimate Encore Theater or the award-winning aquatic spectacular Le Rˆve _ The Dream.",Restaurants,4:00:00 PM,6:00:00 AM,11.01.2019,31.12.2019,"Sat, Sun","3131 S Las Vegas Blvd, Las Vegas, NV 89109",36.093391-115.173027,https://www.wynnlasvegas.com/Dining/CasualDining/Allegro,702 770 2040
Wynn_2.jpg,The Buffet,"Indulge in a feast for all your senses amid the resplendent surroundings of The Buffet at Wynn, voted ""Best Buffet"" in Las Vegas by the Southern Nevada Hotel Concierge Association. Sample tastes from around the world at the 15 live-action cooking stations presenting rotisserie grilled steakhouse cuts and over 120 artfully presented dishes. Visit the sweet patisserie, featuring warm pastries, chocolate fountain dipped specialties and an assortment of cakes and confections made daily by our dedicated pastry chefs. Every Friay and Satrday The Buffet offers a seafood spectacular, featuring steamed Alaskan crab legs and Jonah crab claws, oysters on the half shell, chilled shrimp, Prince Edward Island mussels, seafood paella with saffron and Spanish chorizo and more. Imaginative d‚cor and impeccable attention to detail imbue what is traditionally a casual dining experience with a fine dining sensibility. DINNER & SHOW PAIRINGS Visit The Buffet before or after experiencing one of the legendary performers appearing in the intimate Encore Theater or the award-winning aquatic spectacular Le Rˆve _ The Dream.",Restaurants,7:30:00 AM,3:30:00 PM,11.01.2019,31.12.2019,Everyday,"3131 S Las Vegas Blvd, Las Vegas, NV 89109",36.093391-115.173027,https://www.wynnlasvegas.com/Dining/CasualDining/TheBuffet,702 770 2040
Wynn_2.jpg,The Buffet,"Indulge in a feast for all your senses amid the resplendent surroundings of The Buffet at Wynn, voted ""Best Buffet"" in Las Vegas by the Southern Nevada Hotel Concierge Association. Sample tastes from around the world at the 15 live-action cooking stations presenting rotisserie grilled steakhouse cuts and over 120 artfully presented dishes. Visit the sweet patisserie, featuring warm pastries, chocolate fountain dipped specialties and an assortment of cakes and confections made daily by our dedicated pastry chefs. Every Friay and Satrday The Buffet offers a seafood spectacular, featuring steamed Alaskan crab legs and Jonah crab claws, oysters on the half shell, chilled shrimp, Prince Edward Island mussels, seafood paella with saffron and Spanish chorizo and more. Imaginative d‚cor and impeccable attention to detail imbue what is traditionally a casual dining experience with a fine dining sensibility. DINNER & SHOW PAIRINGS Visit The Buffet before or after experiencing one of the legendary performers appearing in the intimate Encore Theater or the award-winning aquatic spectacular Le Rˆve _ The Dream.",Restaurants,3:30:00 PM,9:30:00 PM,11.01.2019,31.12.2019,Everyday,"3131 S Las Vegas Blvd, Las Vegas, NV 89109",36.093391-115.173027,https://www.wynnlasvegas.com/Dining/CasualDining/TheBuffet,702 770 2040
Wynn_3.jpg,The Caf‚,"The Caf‚, adjacent to The Drugstore at Wynn, offers everything from breakfast pastries and sandwiches, to salads and desserts. A wide selection of espresso and specialty coffee drinks offer a pick-me-up any time of the day or night. Located alongside the casino floor and near the Wynn and Encore show theaters, The Caf‚ is a perfect spot to grab a bite inside or on the go.",Restaurants,3:30:00 PM,11:59:00 PM,11.01.2019,31.12.2019,Everyday,"3131 S Las Vegas Blvd, Las Vegas, NV 89109",36.093391-115.173027,https://www.wynnlasvegas.com/Dining/CasualDining/TheCafe,702 770 2040
Wynn_4.jpg,Charlie_S Bar + Grill,"If you_re hungry for a fun and vibrant sports bar and restaurant with a sophisticated twist, look no further than the all new Charlie_s Bar + Grill at Wynn. This stylish concept recently debuted alongside the completely remodeled Wynn Race & Sports Book. Named with a warm smile for Las Vegas _super host_ Charlie Meyerson, Charlie_s Bar + Grill offers crowd-pleasing all-American fare in the heart of the race and sports book, with prime views of the action on multiple screens and exciting nightly trivia games, offered throughout the bar area. The eclectic menu features lunch, dinner and late night selections, with epicurean versions of all your tailgate favorites, such as burgers, sandwiches and shareable appetizers like sliders, giant pretzels and loaded nachos. Pair the menu items with frozen shakes and floats, 16 beers on tap and a rotating list of craft microbrews for a unique and exciting sports bar and grill experience.",Restaurants,11:30:00 AM,11:30:00 PM,11.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3131 S Las Vegas Blvd, Las Vegas, NV 89109",36.093391-115.173027,https://www.wynnlasvegas.com/Dining/CasualDining/CharliesBarAndGrill,702 770 2040
Wynn_4.jpg,Charlie_S Bar + Grill,"If you_re hungry for a fun and vibrant sports bar and restaurant with a sophisticated twist, look no further than the all new Charlie_s Bar + Grill at Wynn. This stylish concept recently debuted alongside the completely remodeled Wynn Race & Sports Book. Named with a warm smile for Las Vegas _super host_ Charlie Meyerson, Charlie_s Bar + Grill offers crowd-pleasing all-American fare in the heart of the race and sports book, with prime views of the action on multiple screens and exciting nightly trivia games, offered throughout the bar area. The eclectic menu features lunch, dinner and late night selections, with epicurean versions of all your tailgate favorites, such as burgers, sandwiches and shareable appetizers like sliders, giant pretzels and loaded nachos. Pair the menu items with frozen shakes and floats, 16 beers on tap and a rotating list of craft microbrews for a unique and exciting sports bar and grill experience.",Restaurants,11:30:00 AM,11:30:00 PM,11.01.2019,31.12.2019,"Fri, Sat","3131 S Las Vegas Blvd, Las Vegas, NV 89109",36.093391-115.173027,https://www.wynnlasvegas.com/Dining/CasualDining/CharliesBarAndGrill,702 770 2040
Wynn_5.jpg,Jardin,"Imagine enjoying the freshest seasonal cuisine in an airy, conservatory-like setting overlooking shimmering pools and manicured greenery. Jardin offers panoramic views of the Encore pool as the lush background for breakfast, lunch and dinner. The restaurant offers casual elegance with a menu that is equal parts innovative and approachable American cuisine. Choose from classics like the crispy buttermilk chicken sandwich with mustard slaw and garlic-herb ranch or a juicy, grilled Kurobuta pork chop topped with mushroom ragout and orange sage sauce. Breakfast features mouthwatering options like short rib and egg sliders and Maine lobster Benedict. Dine inside for the best vantage of Jardin_s in-the-round views, or request a patio table to immerse yourself in the picturesque setting day or night.",Restaurants,7:00:00 AM,11:00:00 PM,11.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3131 S Las Vegas Blvd, Las Vegas, NV 89109",36.093391-115.173027,https://www.wynnlasvegas.com/Dining/CasualDining/Jardin,702 770 2040
Wynn_5.jpg,Jardin,"Imagine enjoying the freshest seasonal cuisine in an airy, conservatory-like setting overlooking shimmering pools and manicured greenery. Jardin offers panoramic views of the Encore pool as the lush background for breakfast, lunch and dinner. The restaurant offers casual elegance with a menu that is equal parts innovative and approachable American cuisine. Choose from classics like the crispy buttermilk chicken sandwich with mustard slaw and garlic-herb ranch or a juicy, grilled Kurobuta pork chop topped with mushroom ragout and orange sage sauce. Breakfast features mouthwatering options like short rib and egg sliders and Maine lobster Benedict. Dine inside for the best vantage of Jardin_s in-the-round views, or request a patio table to immerse yourself in the picturesque setting day or night.",Restaurants,7:00:00 AM,12:00:00 AM,11.01.2019,31.12.2019,"Fri, Sat","3131 S Las Vegas Blvd, Las Vegas, NV 89109",36.093391-115.173027,https://www.wynnlasvegas.com/Dining/CasualDining/Jardin,702 770 2040
Wynn_6.jpg,La Cave_Wine & Food Hideaway,"Low ceilings and quiet nooks are what you'll find behind the glass facade and revolving door that is set into the hallway next-door to Terrace Pointe Caf‚ at Wynn. At La Cave_Wine & Food Hideaway you'll savor Chef Billy DeMarco's menu of small-plate items from the sea, farm, oven, garden, grill and butcher, paired with artisanal draught beers and an impressive wine list. La Cave offers three distinct environments_the cellar, the front bar area illuminated from above by a sign proclaiming In Vino Veritas, the rustic yet refined dining room, and a patio that looks out over the elegantly-landscaped Wynn resort pool and gardens.",Restaurants,11:30:00 AM,9:30:00 PM,11.01.2019,31.12.2019,"Mon, Tue, Wed, Thu","3131 S Las Vegas Blvd, Las Vegas, NV 89109",36.093391-115.173027,https://www.wynnlasvegas.com/Dining/CasualDining/LaCave,702 770 2040
